ident	Latitude	Longitude	time
START	-14.180388	-169.656855	2019/06/23 00:39:23+00
2	-14.181183	-169.656687	2019/06/23 00:53:05+00
3	-14.181335	-169.656632	2019/06/23 01:01:15+00
4	-14.181329	-169.656618	2019/06/23 01:01:39+00
5	-14.181496	-169.657328	2019/06/23 01:43:57+00
END1	-14.180899	-169.657619	2019/06/23 01:56:08+00
START2	-14.180877	-169.657677	2019/06/23 02:00:35+00
END2	-14.180958	-169.657872	2019/06/23 02:21:03+00
