ident	Latitude	Longitude	time
T5534	-14.18025887	-169.6569469	2019/06/24 20:07:27+00
T5534	-14.18026222	-169.6569451	2019/06/24 20:07:32+00
T5534	-14.18026666	-169.6569446	2019/06/24 20:07:37+00
T5534	-14.18027052	-169.6569476	2019/06/24 20:07:42+00
T5534	-14.18027169	-169.6569478	2019/06/24 20:07:47+00
T5534	-14.18027412	-169.656948	2019/06/24 20:07:52+00
T5534	-14.18027638	-169.6569489	2019/06/24 20:07:57+00
T5534	-14.18027697	-169.6569456	2019/06/24 20:08:02+00
T5534	-14.18027714	-169.6569427	2019/06/24 20:08:07+00
T5534	-14.18027722	-169.6569422	2019/06/24 20:08:12+00
T5534	-14.18027798	-169.6569428	2019/06/24 20:08:17+00
T5534	-14.18027312	-169.6569451	2019/06/24 20:08:22+00
T5534	-14.1802758	-169.65695	2019/06/24 20:08:27+00
T5534	-14.18027496	-169.6569549	2019/06/24 20:08:32+00
T5534	-14.18027689	-169.6569609	2019/06/24 20:08:37+00
T5534	-14.18027831	-169.6569636	2019/06/24 20:08:42+00
T5534	-14.18027496	-169.6569657	2019/06/24 20:08:47+00
T5534	-14.18027295	-169.6569621	2019/06/24 20:08:52+00
T5534	-14.18027303	-169.6569626	2019/06/24 20:08:57+00
T5534	-14.18027152	-169.6569658	2019/06/24 20:09:02+00
T5534	-14.18026951	-169.65697	2019/06/24 20:09:07+00
T5534	-14.18027136	-169.6569735	2019/06/24 20:09:12+00
T5534	-14.18026549	-169.6569767	2019/06/24 20:09:17+00
T5534	-14.18026515	-169.6569766	2019/06/24 20:09:22+00
T5534	-14.18026716	-169.6569743	2019/06/24 20:09:27+00
T5534	-14.18026616	-169.6569759	2019/06/24 20:09:32+00
T5534	-14.18026809	-169.6569749	2019/06/24 20:09:37+00
T5534	-14.18027077	-169.6569725	2019/06/24 20:09:42+00
T5534	-14.18027085	-169.6569725	2019/06/24 20:09:47+00
T5534	-14.18026842	-169.6569655	2019/06/24 20:09:52+00
T5534	-14.18027429	-169.6569587	2019/06/24 20:09:57+00
T5534	-14.18027555	-169.6569592	2019/06/24 20:10:02+00
T5534	-14.18027496	-169.6569616	2019/06/24 20:10:07+00
T5534	-14.18027856	-169.6569611	2019/06/24 20:10:12+00
T5534	-14.18027932	-169.6569586	2019/06/24 20:10:17+00
T5534	-14.18027253	-169.6569567	2019/06/24 20:10:22+00
T5534	-14.18027454	-169.6569586	2019/06/24 20:10:27+00
T5534	-14.18027471	-169.6569543	2019/06/24 20:10:32+00
T5534	-14.18028108	-169.6569523	2019/06/24 20:10:37+00
T5534	-14.180296	-169.6569454	2019/06/24 20:10:42+00
T5534	-14.18029751	-169.6569399	2019/06/24 20:10:47+00
T5534	-14.18029633	-169.6569366	2019/06/24 20:10:52+00
T5534	-14.18029239	-169.6569404	2019/06/24 20:10:57+00
T5534	-14.18029357	-169.6569397	2019/06/24 20:11:02+00
T5534	-14.18029608	-169.6569427	2019/06/24 20:11:07+00
T5534	-14.1802996	-169.6569414	2019/06/24 20:11:12+00
T5534	-14.18030472	-169.6569441	2019/06/24 20:11:17+00
T5534	-14.1802986	-169.6569444	2019/06/24 20:11:22+00
T5534	-14.18028862	-169.6569438	2019/06/24 20:11:27+00
T5534	-14.18028736	-169.6569404	2019/06/24 20:11:32+00
T5534	-14.18028988	-169.6569385	2019/06/24 20:11:37+00
T5534	-14.18028125	-169.6569348	2019/06/24 20:11:42+00
T5534	-14.18027119	-169.6569304	2019/06/24 20:11:47+00
T5534	-14.1802618	-169.6569271	2019/06/24 20:11:52+00
T5534	-14.1802525	-169.6569357	2019/06/24 20:11:57+00
T5534	-14.18024646	-169.6569402	2019/06/24 20:12:02+00
T5534	-14.18022618	-169.6569448	2019/06/24 20:12:07+00
T5534	-14.1802048	-169.6569478	2019/06/24 20:12:12+00
T5534	-14.18019013	-169.6569538	2019/06/24 20:12:17+00
T5534	-14.18017664	-169.6569523	2019/06/24 20:12:22+00
T5534	-14.18017513	-169.6569489	2019/06/24 20:12:27+00
T5534	-14.18018737	-169.6569482	2019/06/24 20:12:32+00
T5534	-14.18019919	-169.6569506	2019/06/24 20:12:37+00
T5534	-14.18021319	-169.6569574	2019/06/24 20:12:42+00
T5534	-14.1802209	-169.6569642	2019/06/24 20:12:47+00
T5534	-14.18022777	-169.6569703	2019/06/24 20:12:52+00
T5534	-14.18024235	-169.6569822	2019/06/24 20:12:57+00
T5534	-14.18024923	-169.6569782	2019/06/24 20:13:02+00
T5534	-14.1802525	-169.6569682	2019/06/24 20:13:07+00
T5534	-14.18024948	-169.6569591	2019/06/24 20:13:12+00
T5534	-14.18023749	-169.6569501	2019/06/24 20:13:17+00
T5534	-14.18022676	-169.6569468	2019/06/24 20:13:22+00
